user_number,datetime,Consommation,cluster,anomalie,type
0_39,2016-05-07 13:00:56,-80,0,1,prb de retour d/eau
0_39,2016-05-07 14:00:56,-30,0,1,prb de retour d/eau
0_39,2016-05-07 15:00:56,-30,0,1,prb de retour d/eau
0_39,2016-05-07 16:00:58,-30,0,1,prb de retour d/eau
0_39,2016-05-07 17:00:58,-30,0,1,prb de retour d/eau
0_39,2016-05-07 18:00:58,-30,0,1,prb de retour d/eau
0_39,2016-05-07 19:00:58,-36,0,1,prb de retour d/eau
0_39,2016-05-07 20:00:56,-36,0,1,prb de retour d/eau
0_39,2016-05-07 21:00:56,-30,0,1,prb de retour d/eau
0_39,2016-05-07 22:00:56,-32,0,1,prb de retour d/eau
0_39,2016-05-07 23:00:56,-40,0,1,prb de retour d/eau
0_39,2016-06-07 00:00:29,-47,0,1,prb de retour d/eau
0_39,2016-06-07 01:00:29,-30,0,1,prb de retour d/eau
0_39,2016-06-07 02:00:29,-30,0,1,prb de retour d/eau
0_39,2016-06-07 03:00:29,-30,0,1,prb de retour d/eau
0_39,2016-06-07 04:00:06,-30,0,1,prb de retour d/eau
0_39,2016-06-07 05:00:06,-30,0,1,prb de retour d/eau
0_39,2016-06-07 06:00:06,-30,0,1,prb de retour d/eau
0_39,2016-06-07 07:00:06,-30,0,1,prb de retour d/eau
0_39,2016-06-07 08:04:55,-44,0,1,prb de retour d/eau
0_39,2016-06-07 09:04:55,-30,0,1,prb de retour d/eau
0_39,2016-06-07 10:04:55,-37,0,1,prb de retour d/eau
0_39,2016-06-07 11:04:55,-34,0,1,prb de retour d/eau
0_39,2016-06-07 12:00:05,-39,0,1,prb de retour d/eau
0_39,2016-06-07 13:00:05,-30,0,1,prb de retour d/eau
0_39,2016-06-07 14:00:05,-37,0,1,prb de retour d/eau
0_39,2016-06-07 15:00:05,-54,0,1,prb de retour d/eau
0_39,2016-06-07 16:00:06,-30,0,1,prb de retour d/eau
0_39,2016-06-07 17:00:06,-30,0,1,prb de retour d/eau
0_39,2016-06-07 18:00:06,-55,0,1,prb de retour d/eau
0_39,2016-06-07 19:00:06,-30,0,1,prb de retour d/eau
0_39,2016-06-07 20:00:09,-38,0,1,prb de retour d/eau
0_39,2016-06-07 21:00:09,-30,0,1,prb de retour d/eau
0_39,2016-06-07 22:00:09,-93,0,1,prb de retour d/eau
0_39,2016-06-07 23:00:09,-45,0,1,prb de retour d/eau
0_39,2016-07-07 00:59:16,-43,0,1,prb de retour d/eau
0_39,2016-07-07 01:59:16,-37,0,1,prb de retour d/eau
0_39,2016-07-07 02:59:16,-33,0,1,prb de retour d/eau
0_39,2016-07-07 03:59:16,-30,0,1,prb de retour d/eau
0_39,2016-07-07 04:59:16,-30,0,1,prb de retour d/eau
0_39,2016-07-07 05:59:16,-30,0,1,prb de retour d/eau
0_39,2016-07-07 06:59:16,-30,0,1,prb de retour d/eau
0_39,2016-07-07 07:59:16,-44,0,1,prb de retour d/eau
0_39,2016-07-07 08:59:16,-34,0,1,prb de retour d/eau
0_39,2016-07-07 09:59:16,-42,0,1,prb de retour d/eau
0_39,2016-07-07 10:59:16,-30,0,1,prb de retour d/eau
0_39,2016-07-07 11:59:16,-37,0,1,prb de retour d/eau
0_39,2016-07-07 12:59:16,-30,0,1,prb de retour d/eau
0_39,2016-08-05 19:58:26,-80,0,1,prb de retour d/eau
0_39,2016-08-05 20:58:26,-30,0,1,prb de retour d/eau
0_39,2016-08-05 21:58:26,-30,0,1,prb de retour d/eau
0_39,2016-08-05 22:58:26,-39,0,1,prb de retour d/eau
0_39,2016-08-05 23:58:32,-40,0,1,prb de retour d/eau
0_39,2016-08-12 16:58:32,-80,0,1,prb de retour d/eau
0_39,2016-08-12 17:58:32,-45,0,1,prb de retour d/eau
0_39,2016-08-12 18:58:32,-36,0,1,prb de retour d/eau
0_39,2016-08-12 19:58:17,-30,0,1,prb de retour d/eau
0_39,2016-08-12 20:58:17,-30,0,1,prb de retour d/eau
0_39,2016-08-12 21:58:17,-75,0,1,prb de retour d/eau
0_39,2016-08-12 22:58:17,-31,0,1,prb de retour d/eau
0_39,2016-08-12 23:58:17,-42,0,1,prb de retour d/eau
0_39,2016-09-05 00:57:40,-30,0,1,prb de retour d/eau
0_39,2016-09-05 01:57:40,-40,0,1,prb de retour d/eau
0_39,2016-09-05 02:57:40,-30,0,1,prb de retour d/eau
0_39,2016-09-05 03:57:36,-30,0,1,prb de retour d/eau
0_39,2016-09-05 04:57:36,-30,0,1,prb de retour d/eau
0_39,2016-09-05 05:57:36,-30,0,1,prb de retour d/eau
0_39,2016-09-05 06:57:36,-31,0,1,prb de retour d/eau
0_39,2016-09-05 07:57:38,-44,0,1,prb de retour d/eau
0_39,2016-09-05 08:57:38,-30,0,1,prb de retour d/eau
0_39,2016-09-05 09:57:38,-53,0,1,prb de retour d/eau
0_39,2016-09-05 10:57:38,-106,0,1,prb de retour d/eau
0_39,2016-09-05 11:57:41,-56,0,1,prb de retour d/eau
0_39,2016-09-05 12:57:41,-69,0,1,prb de retour d/eau
0_39,2016-09-05 13:57:41,-55,0,1,prb de retour d/eau
0_39,2016-09-05 14:57:41,-101,0,1,prb de retour d/eau
0_39,2016-09-05 15:58:23,-37,0,1,prb de retour d/eau
0_39,2016-09-05 16:58:23,-60,0,1,prb de retour d/eau
0_39,2016-09-05 17:58:23,-30,0,1,prb de retour d/eau
0_39,2016-09-05 18:58:23,-32,0,1,prb de retour d/eau
