user_number,datetime,Consommation,cluster,anomalie,type
0_39,2016-03-01 01:02:47,7,0,0,pas d'anomalie
0_39,2016-03-01 02:02:47,15,0,0,pas d'anomalie
0_39,2016-03-01 03:02:45,0,0,0,pas d'anomalie
0_39,2016-03-01 04:02:45,0,0,0,pas d'anomalie
0_39,2016-03-01 05:02:45,0,0,0,pas d'anomalie
0_39,2016-03-01 06:02:45,45,0,0,pas d'anomalie
0_39,2016-03-01 07:02:47,4,0,0,pas d'anomalie
0_39,2016-03-01 08:02:47,0,0,0,pas d'anomalie
0_39,2016-03-01 09:02:47,0,0,0,pas d'anomalie
0_39,2016-03-01 10:02:47,0,0,0,pas d'anomalie
0_39,2016-03-01 11:02:43,0,0,0,pas d'anomalie
0_39,2016-03-01 12:02:43,0,0,0,pas d'anomalie
0_39,2016-03-01 13:02:43,5,0,0,pas d'anomalie
0_39,2016-03-01 14:02:43,0,0,0,pas d'anomalie
0_39,2016-03-01 15:02:45,0,0,0,pas d'anomalie
0_39,2016-03-01 16:02:45,0,0,0,pas d'anomalie
0_39,2016-03-01 17:02:45,10,0,0,pas d'anomalie
0_39,2016-03-01 18:02:45,0,0,0,pas d'anomalie
0_39,2016-03-01 19:02:43,0,0,0,pas d'anomalie
0_39,2016-03-01 20:02:43,0,0,0,pas d'anomalie
0_39,2016-03-01 21:02:43,7,0,0,pas d'anomalie
0_39,2016-03-01 22:02:43,0,0,0,pas d'anomalie
0_39,2016-03-01 23:02:45,25,0,0,pas d'anomalie
0_39,2016-03-02 00:02:45,0,0,0,pas d'anomalie
0_39,2016-03-02 01:02:45,0,0,0,pas d'anomalie
0_39,2016-03-02 02:02:45,3,0,0,pas d'anomalie
0_39,2016-03-02 03:02:44,9,0,0,pas d'anomalie
0_39,2016-03-02 04:02:44,17,0,0,pas d'anomalie
0_39,2016-03-02 05:02:44,0,0,0,pas d'anomalie
0_39,2016-03-02 06:02:44,36,0,0,pas d'anomalie
0_39,2016-03-02 07:02:44,0,0,0,pas d'anomalie
0_39,2016-03-02 08:02:44,2,0,0,pas d'anomalie
0_39,2016-03-02 09:02:44,0,0,0,pas d'anomalie
0_39,2016-03-02 10:02:44,0,0,0,pas d'anomalie
0_39,2016-03-02 11:02:55,3,0,0,pas d'anomalie
0_39,2016-03-02 12:02:55,0,0,0,pas d'anomalie
0_39,2016-03-02 13:02:55,0,0,0,pas d'anomalie
0_39,2016-03-02 14:02:55,111,0,0,pas d'anomalie
0_39,2016-03-02 15:02:45,5,0,0,pas d'anomalie
0_39,2016-03-02 16:02:45,17,0,0,pas d'anomalie
0_39,2016-03-02 17:02:45,0,0,0,pas d'anomalie
0_39,2016-03-02 18:02:45,0,0,0,pas d'anomalie
0_39,2016-03-02 19:02:43,0,0,0,pas d'anomalie
0_39,2016-03-02 20:02:43,0,0,0,pas d'anomalie
0_39,2016-03-02 21:02:43,1,0,0,pas d'anomalie
0_39,2016-03-02 22:02:43,3,0,0,pas d'anomalie
0_39,2016-03-02 23:02:51,0,0,0,pas d'anomalie
0_39,2016-03-03 00:02:51,0,0,0,pas d'anomalie
0_39,2016-03-03 01:02:51,0,0,0,pas d'anomalie
0_39,2016-03-03 02:02:51,0,0,0,pas d'anomalie
0_39,2016-03-03 03:02:41,2,0,0,pas d'anomalie
0_39,2016-03-03 04:02:41,0,0,0,pas d'anomalie
0_39,2016-03-03 05:02:41,0,0,0,pas d'anomalie
0_39,2016-03-03 06:02:41,0,0,0,pas d'anomalie
0_39,2016-03-03 07:02:42,0,0,0,pas d'anomalie
0_39,2016-03-03 08:02:42,4,0,0,pas d'anomalie
0_39,2016-03-03 09:02:42,33,0,0,pas d'anomalie
0_39,2016-03-03 10:02:42,0,0,0,pas d'anomalie
0_39,2016-03-03 11:02:45,0,0,0,pas d'anomalie
0_39,2016-03-03 12:02:45,28,0,0,pas d'anomalie
0_39,2016-03-03 13:02:45,0,0,0,pas d'anomalie
0_39,2016-03-03 14:02:45,0,0,0,pas d'anomalie
0_39,2016-03-03 19:02:39,0,0,0,pas d'anomalie
0_39,2016-03-03 20:02:39,0,0,0,pas d'anomalie
0_39,2016-03-03 21:02:39,0,0,0,pas d'anomalie
0_39,2016-03-03 22:02:39,0,0,0,pas d'anomalie
0_39,2016-03-03 23:02:41,14,0,0,pas d'anomalie
0_39,2016-03-04 00:02:41,0,0,0,pas d'anomalie
0_39,2016-03-04 01:02:41,0,0,0,pas d'anomalie
0_39,2016-03-04 02:02:41,0,0,0,pas d'anomalie
0_39,2016-03-04 03:02:41,0,0,0,pas d'anomalie
0_39,2016-03-04 04:02:41,0,0,0,pas d'anomalie
0_39,2016-03-04 05:02:41,0,0,0,pas d'anomalie
0_39,2016-03-04 06:02:41,0,0,0,pas d'anomalie
0_39,2016-03-04 07:02:43,0,0,0,pas d'anomalie
0_39,2016-03-04 08:02:43,0,0,0,pas d'anomalie
0_39,2016-03-04 09:02:43,0,0,0,pas d'anomalie
0_39,2016-03-04 10:02:43,0,0,0,pas d'anomalie
0_39,2016-03-04 11:02:48,0,0,0,pas d'anomalie
0_39,2016-03-04 12:02:48,3,0,0,pas d'anomalie
0_39,2016-03-04 13:02:48,0,0,0,pas d'anomalie
0_39,2016-03-04 14:02:48,2,0,0,pas d'anomalie
0_39,2016-03-04 15:02:45,10,0,0,pas d'anomalie
0_39,2016-03-04 16:02:45,0,0,0,pas d'anomalie
0_39,2016-03-04 17:02:45,1,0,0,pas d'anomalie
0_39,2016-03-04 18:02:45,0,0,0,pas d'anomalie
0_39,2016-03-04 19:02:43,25,0,0,pas d'anomalie
0_39,2016-03-04 20:02:43,146,0,0,pas d'anomalie
0_39,2016-03-04 21:02:43,0,0,0,pas d'anomalie
0_39,2016-03-04 22:02:43,0,0,0,pas d'anomalie
0_39,2016-03-04 23:02:40,71,0,0,pas d'anomalie
0_39,2016-03-05 00:02:40,8,0,0,pas d'anomalie
0_39,2016-03-05 01:02:40,36,0,0,pas d'anomalie
0_39,2016-03-05 02:02:40,0,0,0,pas d'anomalie
0_39,2016-03-05 03:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 04:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 05:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 06:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 11:02:44,0,0,0,pas d'anomalie
0_39,2016-03-05 12:02:44,0,0,0,pas d'anomalie
0_39,2016-03-05 13:02:44,0,0,0,pas d'anomalie
0_39,2016-03-05 14:02:44,0,0,0,pas d'anomalie
0_39,2016-03-05 15:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 16:02:39,22,0,0,pas d'anomalie
0_39,2016-03-05 17:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 18:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 19:02:37,5,0,0,pas d'anomalie
0_39,2016-03-05 20:02:37,0,0,0,pas d'anomalie
0_39,2016-03-05 21:02:37,0,0,0,pas d'anomalie
0_39,2016-03-05 22:02:37,0,0,0,pas d'anomalie
0_39,2016-03-05 23:02:38,3,0,0,pas d'anomalie
0_39,2016-03-06 00:02:38,0,0,0,pas d'anomalie
0_39,2016-03-06 01:02:38,4,0,0,pas d'anomalie
0_39,2016-03-06 02:02:38,5,0,0,pas d'anomalie
0_39,2016-03-06 03:02:36,37,0,0,pas d'anomalie
0_39,2016-03-06 04:02:36,0,0,0,pas d'anomalie
