user_number,datetime,Consommation,cluster
2,2016-03-01 01:30:27,0,1
2,2016-03-01 02:30:27,0,1
2,2016-03-01 03:30:27,0,1
2,2016-03-01 04:30:27,0,1
2,2016-03-01 05:30:27,0,1
2,2016-03-01 06:30:27,0,1
2,2016-03-01 07:30:27,22,1
2,2016-03-01 08:30:27,126,1
2,2016-03-01 09:30:27,12,1
2,2016-03-01 10:30:26,0,1
2,2016-03-01 11:30:26,0,1
2,2016-03-01 12:30:26,61,1
2,2016-03-01 13:30:26,68,1
2,2016-03-01 14:30:27,89,1
2,2016-03-01 15:30:27,2,1
2,2016-03-01 16:30:27,45,1
2,2016-03-01 17:30:27,0,1
2,2016-03-01 18:30:28,7,1
2,2016-03-01 19:30:28,0,1
2,2016-03-01 20:30:28,28,1
2,2016-03-01 21:30:28,40,1
2,2016-03-01 22:30:25,0,1
2,2016-03-01 23:30:25,0,1
2,2016-03-02 00:30:25,0,1
2,2016-03-02 01:30:25,0,1
2,2016-03-02 02:30:26,0,1
2,2016-03-02 03:30:26,0,1
2,2016-03-02 04:30:26,0,1
2,2016-03-02 05:30:26,0,1
2,2016-03-02 06:30:24,0,1
2,2016-03-02 07:30:24,15,1
2,2016-03-02 08:30:24,84,1
2,2016-03-02 09:30:24,12,1
2,2016-03-02 10:30:24,0,1
2,2016-03-02 11:30:24,0,1
2,2016-03-02 12:30:24,0,1
2,2016-03-02 13:30:24,0,1
2,2016-03-02 14:30:24,7,1
2,2016-03-02 15:30:24,13,1
2,2016-03-02 16:30:24,0,1
2,2016-03-02 17:30:24,7,1
2,2016-03-02 18:30:22,0,1
2,2016-03-02 19:30:22,12,1
2,2016-03-02 20:30:22,10,1
2,2016-03-02 21:30:22,0,1
2,2016-03-02 22:30:21,0,1
2,2016-03-02 23:30:21,11,1
2,2016-03-03 00:30:21,16,1
2,2016-03-03 01:30:21,0,1
2,2016-03-03 02:30:22,0,1
2,2016-03-03 03:30:22,0,1
2,2016-03-03 04:30:22,0,1
2,2016-03-03 05:30:22,0,1
2,2016-03-03 06:30:56,0,1
2,2016-03-03 07:30:56,0,1
2,2016-03-03 08:30:56,127,1
2,2016-03-03 09:30:56,16,1
2,2016-03-03 10:30:23,7,1
2,2016-03-03 11:30:23,10,1
2,2016-03-03 12:30:23,83,1
2,2016-03-03 13:30:23,180,1
2,2016-03-03 14:30:23,0,1
2,2016-03-03 15:30:23,13,1
2,2016-03-03 16:30:23,35,1
2,2016-03-03 17:30:23,6,1
2,2016-03-03 18:30:28,3,1
2,2016-03-03 19:30:28,0,1
2,2016-03-03 20:30:28,0,1
2,2016-03-03 21:30:28,1,1
2,2016-03-03 22:30:19,8,1
2,2016-03-03 23:30:19,6,1
2,2016-03-04 00:30:19,0,1
2,2016-03-04 01:30:19,0,1
2,2016-03-04 02:30:20,0,1
2,2016-03-04 03:30:20,0,1
2,2016-03-04 04:30:20,0,1
2,2016-03-04 05:30:20,0,1
2,2016-03-04 06:30:19,0,1
2,2016-03-04 07:30:19,88,1
2,2016-03-04 08:30:19,68,1
2,2016-03-04 09:30:19,0,1
2,2016-03-04 10:30:23,0,1
2,2016-03-04 11:30:23,0,1
2,2016-03-04 12:30:23,0,1
2,2016-03-04 13:30:23,0,1
2,2016-03-04 14:30:20,0,1
2,2016-03-04 15:30:20,16,1
2,2016-03-04 16:30:20,0,1
2,2016-03-04 17:30:20,8,1
2,2016-03-04 18:30:18,0,1
2,2016-03-04 19:30:18,20,1
2,2016-03-04 20:30:18,50,1
2,2016-03-04 21:30:18,0,1
2,2016-03-04 22:31:47,0,1
2,2016-03-04 23:31:47,0,1
2,2016-03-05 00:31:47,0,1
2,2016-03-05 01:31:47,7,1
2,2016-03-05 02:30:21,0,1
2,2016-03-05 03:30:21,0,1
2,2016-03-05 04:30:21,0,1
2,2016-03-05 05:30:21,0,1
2,2016-03-05 10:30:17,112,1
2,2016-03-05 11:30:17,101,1
2,2016-03-05 12:30:17,0,1
2,2016-03-05 13:30:17,7,1
2,2016-03-05 14:30:16,0,1
2,2016-03-05 15:30:16,4,1
2,2016-03-05 16:30:16,0,1
2,2016-03-05 17:30:16,105,1
2,2016-03-05 18:31:42,14,1
2,2016-03-05 19:31:42,0,1
2,2016-03-05 20:31:42,2,1
2,2016-03-05 21:31:42,6,1
2,2016-03-05 22:30:16,6,1
2,2016-03-05 23:30:16,0,1
2,2016-03-06 00:30:16,6,1
2,2016-03-06 01:30:16,0,1
2,2016-03-06 02:30:15,0,1
2,2016-03-06 03:30:15,0,1
2,2016-03-06 04:30:15,0,1
2,2016-03-06 05:30:15,0,1
2,2016-03-06 06:30:31,0,1
2,2016-03-06 07:30:31,0,1
2,2016-03-06 08:30:31,7,1
2,2016-03-06 09:30:31,15,1
2,2016-03-06 10:30:27,37,1
2,2016-03-06 11:30:27,12,1
2,2016-03-06 12:30:27,40,1
2,2016-03-06 13:30:27,17,1
2,2016-03-06 14:30:15,18,1
2,2016-03-06 15:30:15,0,1
2,2016-03-06 16:30:15,6,1
2,2016-03-06 17:30:15,0,1
2,2016-03-06 18:30:16,57,1
2,2016-03-06 19:30:16,116,1
2,2016-03-06 20:30:16,0,1
2,2016-03-06 21:30:16,0,1
2,2016-03-06 22:30:26,0,1
2,2016-03-06 23:30:26,0,1
2,2016-03-07 00:30:26,7,1
2,2016-03-07 01:30:26,0,1
2,2016-03-07 02:30:19,0,1
2,2016-03-07 03:30:19,0,1
2,2016-03-07 04:30:19,0,1
2,2016-03-07 05:30:19,0,1
2,2016-03-07 06:30:11,0,1
2,2016-03-07 07:30:11,15,1
2,2016-03-07 08:30:11,125,1
2,2016-03-07 09:30:11,2,1
2,2016-03-07 10:30:49,0,1
2,2016-03-07 11:30:49,0,1
2,2016-03-07 12:30:49,0,1
2,2016-03-07 13:30:49,0,1
2,2016-03-07 14:30:11,0,1
2,2016-03-07 15:30:11,13,1
2,2016-03-07 16:30:11,0,1
2,2016-03-07 17:30:11,0,1
2,2016-03-07 18:30:12,0,1
2,2016-03-07 19:30:12,6,1
2,2016-03-07 20:30:12,92,1
2,2016-03-07 21:30:12,6,1
2,2016-03-07 22:30:24,10,1
2,2016-03-07 23:30:24,18,1
2,2016-03-08 00:30:24,0,1
2,2016-03-08 01:30:24,0,1
2,2016-03-08 02:30:27,0,1
2,2016-03-08 03:30:27,0,1
2,2016-03-08 04:30:27,0,1
2,2016-03-08 05:30:27,0,1
2,2016-03-08 06:31:22,0,1
2,2016-03-08 07:31:22,25,1
2,2016-03-08 08:31:22,121,1
2,2016-03-08 09:31:22,9,1
2,2016-03-08 10:30:11,2,1
2,2016-03-08 11:30:11,40,1
2,2016-03-08 12:30:11,6,1
2,2016-03-08 13:30:11,0,1
2,2016-03-08 14:30:11,24,1
2,2016-03-08 15:30:11,80,1
2,2016-03-08 16:30:11,23,1
2,2016-03-08 17:30:11,14,1
2,2016-03-08 18:30:11,0,1
2,2016-03-08 19:30:11,29,1
2,2016-03-08 20:30:11,31,1
2,2016-03-08 21:30:11,2,1
2,2016-03-08 22:30:23,0,1
2,2016-03-08 23:30:23,0,1
2,2016-03-09 00:30:23,0,1
2,2016-03-09 01:30:23,10,1
2,2016-03-09 02:30:10,0,1
2,2016-03-09 03:30:10,0,1
2,2016-03-09 04:30:10,0,1
2,2016-03-09 05:30:10,0,1
2,2016-03-09 06:30:08,0,1
2,2016-03-09 07:30:08,6,1
2,2016-03-09 08:30:08,104,1
2,2016-03-09 09:30:08,55,1
2,2016-03-09 10:30:08,100,1
2,2016-03-09 11:30:08,7,1
2,2016-03-09 12:30:08,11,1
2,2016-03-09 13:30:08,13,1
2,2016-03-09 14:30:09,0,1
2,2016-03-09 15:30:09,3,1
2,2016-03-09 16:30:09,10,1
2,2016-03-09 17:30:09,6,1
2,2016-03-09 18:30:25,7,1
2,2016-03-09 19:30:25,5,1
2,2016-03-09 20:30:25,11,1
2,2016-03-09 21:30:25,6,1
2,2016-03-09 22:30:07,3,1
2,2016-03-09 23:30:07,7,1
2,2016-03-10 00:30:07,0,1
2,2016-03-10 01:30:07,0,1
2,2016-03-10 02:30:08,0,1
2,2016-03-10 03:30:08,0,1
2,2016-03-10 04:30:08,0,1
2,2016-03-10 05:30:08,0,1
2,2016-03-10 06:30:46,0,1
2,2016-03-10 07:30:46,31,1
2,2016-03-10 08:30:46,120,1
2,2016-03-10 09:30:46,11,1
2,2016-03-10 10:30:07,0,1
2,2016-03-10 11:30:07,0,1
2,2016-03-10 12:30:07,0,1
2,2016-03-10 13:30:07,0,1
2,2016-03-10 14:30:22,8,1
2,2016-03-10 15:30:22,0,1
2,2016-03-10 16:30:22,0,1
2,2016-03-10 17:30:22,7,1
2,2016-03-10 18:30:07,7,1
2,2016-03-10 19:30:07,5,1
2,2016-03-10 20:30:07,97,1
2,2016-03-10 21:30:07,13,1
2,2016-03-10 22:30:07,0,1
2,2016-03-10 23:30:07,0,1
2,2016-03-11 00:30:07,0,1
2,2016-03-11 01:30:07,7,1
2,2016-03-11 06:30:24,0,1
2,2016-03-11 07:30:24,114,1
2,2016-03-11 08:30:24,31,1
2,2016-03-11 09:30:24,0,1
2,2016-03-11 10:30:30,0,1
2,2016-03-11 11:30:30,7,1
2,2016-03-11 12:30:30,64,1
2,2016-03-11 13:30:30,14,1
2,2016-03-11 14:30:03,0,1
2,2016-03-11 15:30:03,0,1
2,2016-03-11 16:30:03,0,1
2,2016-03-11 17:30:03,0,1
2,2016-03-11 18:30:05,0,1
2,2016-03-11 19:30:05,0,1
2,2016-03-11 20:30:05,0,1
2,2016-03-11 21:30:05,0,1
2,2016-03-11 22:30:04,0,1
2,2016-03-11 23:30:04,7,1
2,2016-03-12 00:30:04,7,1
2,2016-03-12 01:30:04,0,1
2,2016-03-12 02:30:04,0,1
2,2016-03-12 03:30:04,0,1
