user_number,datetime,Consommation,cluster,anomalie,type
1_15,2016-01-03 01:25:10,0,1,0,
1_15,2016-01-03 02:25:10,0,1,0,
1_15,2016-01-03 03:25:10,7,1,0,
1_15,2016-01-03 04:25:10,0,1,0,
1_15,2016-01-03 05:25:12,0,1,0,
1_15,2016-01-03 06:25:12,0,1,0,
1_15,2016-01-03 07:25:12,20,1,0,
1_15,2016-01-03 08:25:12,90,1,0,
1_15,2016-01-03 09:25:11,147,1,0,
1_15,2016-01-03 10:25:11,0,1,0,
1_15,2016-01-03 11:25:11,0,1,0,
1_15,2016-01-03 12:25:11,0,1,0,
1_15,2016-01-03 13:25:10,30,1,0,
1_15,2016-01-03 14:25:10,9,1,0,
1_15,2016-01-03 15:25:10,21,1,0,
1_15,2016-01-03 16:25:10,90,1,0,
1_15,2016-01-03 17:25:10,138,1,0,
1_15,2016-01-03 18:25:10,123,1,0,
1_15,2016-01-03 19:25:10,69,1,0,
1_15,2016-01-03 20:25:10,11,1,0,
1_15,2016-01-03 21:25:10,15,1,0,
1_15,2016-01-03 22:25:10,14,1,0,
1_15,2016-01-03 23:25:10,20,1,0,
1_15,2016-02-03 00:25:10,20,1,0,
1_15,2016-02-03 01:25:09,0,1,0,
1_15,2016-02-03 02:25:09,0,1,0,
1_15,2016-02-03 03:25:09,0,1,0,
1_15,2016-02-03 04:25:09,7,1,0,
1_15,2016-02-03 05:25:09,0,1,0,
1_15,2016-02-03 06:25:09,0,1,0,
1_15,2016-02-03 07:25:09,15,1,0,
1_15,2016-02-03 08:25:09,195,1,0,
1_15,2016-02-03 09:25:07,9,1,0,
1_15,2016-02-03 10:25:07,0,1,0,
1_15,2016-02-03 11:25:07,20,1,0,
1_15,2016-02-03 12:25:07,1,1,0,
1_15,2016-02-03 13:25:09,8,1,0,
1_15,2016-02-03 14:25:09,3,1,0,
1_15,2016-02-03 15:25:09,1,1,0,
1_15,2016-02-03 16:25:09,17,1,0,
1_15,2016-02-03 17:25:06,0,1,0,
1_15,2016-02-03 18:25:06,11,1,0,
1_15,2016-02-03 19:25:06,38,1,0,
1_15,2016-02-03 20:25:06,12,1,0,
1_15,2016-02-03 21:25:07,62,1,0,
1_15,2016-02-03 22:25:07,87,1,0,
1_15,2016-02-03 23:25:07,22,1,0,
1_15,2016-03-03 00:25:07,39,1,0,
1_15,2016-03-03 01:25:06,0,1,0,
1_15,2016-03-03 02:25:06,0,1,0,
1_15,2016-03-03 03:25:06,0,1,0,
1_15,2016-03-03 04:25:06,0,1,0,
1_15,2016-03-03 05:25:05,0,1,0,
1_15,2016-03-03 06:25:05,0,1,0,
1_15,2016-03-03 07:25:05,86,1,0,
1_15,2016-03-03 08:25:05,25,1,0,
1_15,2016-03-03 09:25:14,37,1,0,
1_15,2016-03-03 10:25:14,0,1,0,
1_15,2016-03-03 11:25:14,10,1,0,
1_15,2016-03-03 12:25:14,0,1,0,
1_15,2016-03-03 13:25:07,9,1,0,
1_15,2016-03-03 14:25:07,14,1,0,
1_15,2016-03-03 15:25:07,13,1,0,
1_15,2016-03-03 16:25:07,48,1,0,
1_15,2016-03-03 17:25:05,57,1,0,
1_15,2016-03-03 18:25:05,0,1,0,
1_15,2016-03-03 19:25:05,8,1,0,
1_15,2016-03-03 20:25:05,10,1,0,
1_15,2016-03-03 21:25:06,1,1,0,
1_15,2016-03-03 22:25:06,15,1,0,
1_15,2016-03-03 23:25:06,20,1,0,
1_15,2016-04-03 00:25:06,95,1,0,
1_15,2016-04-03 01:25:03,18,1,0,
1_15,2016-04-03 02:25:03,0,1,0,
1_15,2016-04-03 03:25:03,0,1,0,
1_15,2016-04-03 04:25:03,7,1,0,
1_15,2016-04-03 05:25:05,0,1,0,
1_15,2016-04-03 06:25:05,0,1,0,
1_15,2016-04-03 07:25:05,10,1,0,
1_15,2016-04-03 08:25:05,12,1,0,
1_15,2016-04-03 09:25:04,194,1,0,
1_15,2016-04-03 10:25:04,21,1,0,
1_15,2016-04-03 11:25:04,0,1,0,
1_15,2016-04-03 12:25:04,0,1,0,
1_15,2016-04-03 13:25:08,1,1,0,
1_15,2016-04-03 14:25:08,0,1,0,
1_15,2016-04-03 15:25:08,0,1,0,
1_15,2016-04-03 16:25:08,0,1,0,
1_15,2016-04-03 17:25:03,0,1,0,
1_15,2016-04-03 18:25:03,0,1,0,
1_15,2016-04-03 19:25:03,0,1,0,
1_15,2016-04-03 20:25:03,0,1,0,
1_15,2016-04-03 21:25:05,0,1,0,
1_15,2016-04-03 22:25:05,0,1,0,
1_15,2016-04-03 23:25:05,0,1,0,
1_15,2016-05-03 00:25:05,0,1,0,
1_15,2016-05-03 01:25:03,0,1,0,
1_15,2016-05-03 02:25:03,0,1,0,
1_15,2016-05-03 03:25:03,0,1,0,
1_15,2016-05-03 04:25:03,0,1,0,
1_15,2016-05-03 05:25:01,0,1,0,
1_15,2016-05-03 06:25:01,0,1,0,
1_15,2016-05-03 07:25:01,0,1,0,
1_15,2016-05-03 08:25:01,0,1,0,
1_15,2016-05-03 09:25:01,0,1,0,
1_15,2016-05-03 10:25:01,0,1,0,
1_15,2016-05-03 11:25:01,0,1,0,
1_15,2016-05-03 12:25:01,0,1,0,
